t,theta,theta_dot,torque,reward
0,-2.600228786468506,0.3379238545894623,0.31512588262557983,-6.861744678118119
1,-2.5838708877563477,0.32715579867362976,0.3404572606086731,-6.772724901664872
2,-2.56795597076416,0.31830084323883057,0.3643704354763031,-6.6872251788445345
3,-2.552394390106201,0.3112330138683319,0.3870333433151245,-6.604679117926548
4,-2.537102222442627,0.3058396279811859,0.408599853515625,-6.524570233452525
5,-2.522001266479492,0.3020201027393341,0.42921072244644165,-6.4464262051765795
6,-2.507017135620117,0.29968494176864624,0.4489942193031311,-6.369813858044661
7,-2.492079257965088,0.2987547516822815,0.4680675268173218,-6.294334790750237
8,-2.477121353149414,0.2991594970226288,0.48653724789619446,-6.219621564034356
9,-2.4620795249938965,0.30083733797073364,0.5045000314712524,-6.145334388640157
10,-2.446892738342285,0.3037341833114624,0.5220438241958618,-6.071158268476688
11,-2.4315025806427,0.30780279636383057,0.5392481088638306,-5.996800529868703
12,-2.4158525466918945,0.31300219893455505,0.5561842918395996,-5.9219887042178865
13,-2.399887800216675,0.3192969858646393,0.5729166865348816,-5.846468735168114
14,-2.3835549354553223,0.3266567885875702,0.5895020365715027,-5.770003464104631
15,-2.3668019771575928,0.3350556492805481,0.6059907674789429,-5.692371387705832
16,-2.349578380584717,0.34447160363197327,0.6224262714385986,-5.613365644684112
17,-2.331834077835083,0.35488614439964294,0.6388458013534546,-5.532793232883565
18,-2.3135199546813965,0.366283655166626,0.6552799344062805,-5.45047442362456
19,-2.2945873737335205,0.37865111231803894,0.6717529892921448,-5.366242370627762
20,-2.2749886512756348,0.3919773995876312,0.688282310962677,-5.279942896338053
21,-2.25467586517334,0.40625303983688354,0.7048787474632263,-5.191434455844285
22,-2.233602523803711,0.42146968841552734,0.7215464115142822,-5.100588260473834
23,-2.211721420288086,0.437619686126709,0.7382815480232239,-5.007288543233301
24,-2.1889867782592773,0.45469555258750916,0.7550733089447021,-4.911432984354434
25,-2.1653521060943604,0.4726894497871399,0.771902322769165,-4.812933267973662
26,-2.140772581100464,0.49159297347068787,0.7887412905693054,-4.711715772988216
27,-2.1152026653289795,0.5113963484764099,0.8055535554885864,-4.6077223775688765
28,-2.0885982513427734,0.5320881009101868,0.8222931027412415,-4.500911374776063
29,-2.06091570854187,0.5536546111106873,0.8389037251472473,-4.39125849178731
30,-2.032111644744873,0.576079249382019,0.8553191423416138,-4.278757995108874
31,-2.0021445751190186,0.5993423461914062,0.8714615106582642,-4.16342385667724
32,-1.9709734916687012,0.623420238494873,0.887241542339325,-4.045290975348174
33,-1.9385592937469482,0.648284912109375,0.9025580286979675,-3.9244164341539265
34,-1.9048640727996826,0.6739034056663513,0.9172972440719604,-3.8008807576385144
35,-1.8698521852493286,0.7002373337745667,0.9313327074050903,-3.6747891497946163
36,-1.8334901332855225,0.7272422909736633,0.9445250034332275,-3.546272685220905
