t,theta,theta_dot,torque,reward
0,-1.921658992767334,-1.3026914596557617,2.0,-3.5312318374588214
1,-2.0063045024871826,-1.6929128170013428,2.0,-3.8664737445127746
2,-2.109269857406616,-2.059304714202881,2.0,-4.3158535858541285
3,-2.2290518283843994,-2.3956377506256104,1.9643926620483398,-4.876951758649961
4,-2.3651986122131348,-2.7229387760162354,1.6941901445388794,-5.5454500249959695
5,-2.516631841659546,-3.028661012649536,1.3953369855880737,-6.337551425787717
6,-2.6815497875213623,-3.2983591556549072,1.0688350200653076,-7.251856578636657
7,-2.857410430908203,-3.5172131061553955,0.7165078520774841,-8.279139431730583
8,-3.0410075187683105,-3.6719446182250977,0.34228143095970154,-9.40198983503047
9,3.0545382499694824,-3.752789258956909,-0.04692763835191727,-10.596047157818992
10,2.8667802810668945,-3.7551584243774414,-0.44182196259498596,-10.738741901783444
11,2.682750940322876,-3.6805872917175293,-0.8325538635253906,-9.629244089252476
12,2.50592303276062,-3.536559820175171,-1.2100757360458374,-8.553289308278192
13,2.3391687870025635,-3.335085153579712,-1.566045880317688,-7.532828027384737
14,2.1846468448638916,-3.090437889099121,-1.892328143119812,-6.587570488451515
15,2.045165777206421,-2.7896223068237305,-2.0,-5.731762414710679
16,1.9233766794204712,-2.4357802867889404,-2.0,-4.96490208761034
17,1.8210769891738892,-2.0459940433502197,-2.0,-4.2966805199779206
18,1.739382266998291,-1.633894443511963,-2.0,-3.738930597031129
19,1.678916573524475,-1.2093145847320557,-2.0,-3.2964118215104667
20,1.639986276626587,-0.7786064147949219,-2.0,-2.9690049558184106
21,1.6227179765701294,-0.3453650176525116,-2.0,-2.7541776366071815
22,1.6271501779556274,0.08864446729421616,-2.0,-2.649141344558888
23,1.6532740592956543,0.5224776864051819,-2.0,-2.65240356973604
24,1.701022982597351,0.9549791216850281,-2.0,-2.7646135026013
25,1.770210862159729,1.3837555646896362,-2.0,-2.9886779190155774
26,1.8604203462600708,1.8041898012161255,-2.0,-3.3291242872356452
27,1.9708491563796997,2.208578109741211,-2.0,-3.7906738354666363
28,2.100126266479492,2.585542678833008,-2.0,-4.37602833541335
29,2.2472074031829834,2.9416189193725586,-1.8555715084075928,-5.0824769762170945
30,2.411069869995117,3.2772514820098877,-1.5835906267166138,-5.917760681378232
31,2.589808225631714,3.574768304824829,-1.2861239910125732,-6.8889497351243225
32,2.780545711517334,3.8147499561309814,-0.9687386751174927,-7.985942224476143
33,2.9794962406158447,3.9790103435516357,-0.6358745098114014,-9.187071007488122
34,-3.100977897644043,4.054219722747803,-0.2894035279750824,-10.460734389461292
35,-2.899231433868408,4.03493070602417,0.07036406546831131,-11.259739288965033
36,-2.702988862991333,3.9248509407043457,0.4421120285987854,-10.033805214070838
37,-2.5161941051483154,3.735896110534668,0.8212130069732666,-8.847269008430104
38,-2.3419227600097656,3.485426425933838,1.1987625360488892,-7.7283619262271195
39,-2.1822872161865234,3.1927101612091064,1.5624758005142212,-6.7018635621992
40,-2.0384979248046875,2.8757872581481934,1.8992661237716675,-5.785324930616316
41,-1.9125118255615234,2.519721269607544,2.0,-4.986489089340653
42,-1.8061509132385254,2.127218008041382,2.0,-4.296601184096592
43,-1.720526933670044,1.7124807834625244,2.0,-3.718686997505185
44,-1.6562416553497314,1.285704493522644,2.0,-3.2574719480800747
45,-1.613572359085083,0.8533859848976135,2.0,-2.912440170106624
46,-1.59261953830719,0.41905832290649414,2.0,-2.680442649202336
47,-1.5934078693389893,-0.015766676515340805,2.0,-2.5579978084262414
48,-1.6159367561340332,-0.4505787789821625,2.0,-2.5429733338123914
49,-1.660178303718567,-0.8848300576210022,2.0,-2.63555372928214
50,-1.7260230779647827,-1.3168960809707642,2.0,-2.8384842865480517
51,-1.8131760358810425,-1.7430588006973267,2.0,-3.156577127689414
52,-1.9210046529769897,-2.1565744876861572,2.0,-3.595432591283336
53,-2.0483527183532715,-2.5469608306884766,2.0,-4.159340443894991
54,-2.194377899169922,-2.9205033779144287,1.8615070581436157,-4.8479151673199175
